atr_period,mult,macd_fast,macd_slow,macd_sig,vol_min,sharpe,ann_return,total_return,max_dd,calmar,n_trades,win_rate,avg_trade,in_market,param_label
7,2.0,12,26,9,1.0,4.231076632583011,9.679517302720349,24.81028360697023,-0.12134302282561217,79.76987120743847,41,0.4146341463414634,2.0584806085925793,20.19294743845642,"ST(ATR7/x2.0)+MACD(12,26,9)/V1.0"
10,2.5,12,21,9,1.0,4.214534684239503,5.430514165736226,11.864717717351478,-0.15223543492346323,35.67181430832074,29,0.4827586206896552,3.3819626010075874,13.805721889554226,"ST(ATR10/x2.5)+MACD(12,21,9)/V1.0"
14,2.0,8,21,7,1.0,4.184289311410755,8.205124806020208,20.048918258163102,-0.1337415125680102,61.35062067469695,42,0.42857142857142855,1.1988040162489324,13.206919494344643,"ST(ATR14/x2.0)+MACD(8,21,7)/V1.0"
7,2.0,8,26,7,1.0,4.182131308631009,8.64130468867962,21.42990871521048,-0.12134302282561218,71.21385710901936,44,0.4318181818181818,1.5724475975993473,16.067864271457086,"ST(ATR7/x2.0)+MACD(8,26,7)/V1.0"
10,2.0,8,21,7,1.0,4.174161250768461,8.81199307966348,21.976755109300097,-0.13374151256801,65.88824150753058,45,0.4444444444444444,1.166181935611655,14.204923486360613,"ST(ATR10/x2.0)+MACD(8,21,7)/V1.0"
14,2.5,8,26,9,1.0,4.153789899093108,7.573613309807268,18.09252265697822,-0.10940443419247056,69.22583500119687,30,0.43333333333333335,3.019462952829484,12.741184298070527,"ST(ATR14/x2.5)+MACD(8,26,9)/V1.0"
14,2.5,12,21,7,1.0,4.153789899093108,7.573613309807268,18.09252265697822,-0.10940443419247056,69.22583500119687,30,0.43333333333333335,3.019462952829484,12.741184298070527,"ST(ATR14/x2.5)+MACD(12,21,7)/V1.0"
10,2.5,12,21,7,1.0,4.141443518581456,5.038846523621452,10.801564636078382,-0.12134302282561191,41.52563869175263,30,0.4,2.5732313506938223,12.508316699933467,"ST(ATR10/x2.5)+MACD(12,21,7)/V1.0"
10,2.5,8,26,9,1.0,4.141443518581456,5.038846523621452,10.801564636078382,-0.12134302282561191,41.52563869175263,30,0.4,2.5732313506938223,12.508316699933467,"ST(ATR10/x2.5)+MACD(8,26,9)/V1.0"
14,2.5,12,26,7,1.0,4.098032372683419,7.5409545338278665,17.99276743720688,-0.10940443419247066,68.92732081189122,30,0.43333333333333335,2.5047616488079107,13.672654690618764,"ST(ATR14/x2.5)+MACD(12,26,7)/V1.0"
10,2.5,12,26,7,0.0,4.075657879648911,5.669136864295779,12.52446928826647,-0.12134302282561207,46.71992449407799,39,0.38461538461538464,1.1889155943065812,16.33399866932801,"ST(ATR10/x2.5)+MACD(12,26,7)/V0.0"
14,2.5,12,21,9,1.0,4.073239275032386,7.521353156208486,17.932963816042808,-0.14071659120728322,53.45036496179134,29,0.4827586206896552,3.333221298592337,14.071856287425149,"ST(ATR14/x2.5)+MACD(12,21,9)/V1.0"
7,2.5,8,21,9,1.0,4.037228534205667,7.139722383411765,16.778913708959713,-0.13374151256800998,53.384489574851244,32,0.40625,2.6665802038438464,13.30671989354624,"ST(ATR7/x2.5)+MACD(8,21,9)/V1.0"
14,2.5,12,21,7,0.0,4.036408841333644,7.802223503724685,18.79475382113639,-0.12677797536147717,61.542420767317864,42,0.35714285714285715,1.2103916247694664,16.33399866932801,"ST(ATR14/x2.5)+MACD(12,21,7)/V0.0"
14,2.5,8,26,9,0.0,4.036408841333644,7.802223503724685,18.79475382113639,-0.12677797536147717,61.542420767317864,42,0.35714285714285715,1.2103916247694664,16.33399866932801,"ST(ATR14/x2.5)+MACD(8,26,9)/V0.0"
14,2.5,8,21,9,1.0,4.032014052267257,7.2054742350082766,16.976337945678903,-0.11530634336436457,62.489833818068405,30,0.4666666666666667,2.861936031771943,12.508316699933467,"ST(ATR14/x2.5)+MACD(8,21,9)/V1.0"
10,2.5,12,21,9,0.0,4.026671902362712,5.648756000325147,12.467770919369475,-0.15223543492346298,37.10539535795384,38,0.42105263157894735,1.69708021354414,16.99933466400532,"ST(ATR10/x2.5)+MACD(12,21,9)/V0.0"
14,2.5,12,26,7,0.0,4.000159606569832,7.8687555993015454,19.000411033538423,-0.13147320299891027,59.85064195451879,42,0.35714285714285715,0.814979586112766,17.465069860279442,"ST(ATR14/x2.5)+MACD(12,26,7)/V0.0"
14,2.5,8,21,9,0.0,3.9935892979066794,7.74649975918121,18.62295124411519,-0.12432573071735557,62.308097563425925,42,0.42857142857142855,1.2017412831143746,15.868263473053892,"ST(ATR14/x2.5)+MACD(8,21,9)/V0.0"
10,2.5,8,21,9,1.0,3.9884879276759824,4.7913669633843865,10.142827471600452,-0.12134302282561218,39.486134858122725,30,0.4,2.404329558724379,12.242182302062542,"ST(ATR10/x2.5)+MACD(8,21,9)/V1.0"
14,2.5,12,21,9,0.0,3.977964880581027,7.891162192040932,19.069801718648726,-0.15897260013057052,49.63850490939701,41,0.3902439024390244,1.320356365073183,18.030605455755154,"ST(ATR14/x2.5)+MACD(12,21,9)/V0.0"
10,2.5,12,21,7,0.0,3.943211348243795,5.157400534198368,11.120737363499286,-0.12134302282561213,42.50265416257444,39,0.358974358974359,1.127254424503669,15.435795076513639,"ST(ATR10/x2.5)+MACD(12,21,7)/V0.0"
